t_sec,bandwidth_kbps,ram_available_mb,cpu_load_pct,api_quota_remaining
0,909,3125,23,480
5,892,3184,38,480
10,899,3111,27,479
15,891,3105,38,479
20,871,3213,23,478
25,874,3203,33,478
30,876,3114,23,477
35,864,3110,31,477
40,865,3297,32,476
45,897,3150,33,476
50,895,3295,23,475
55,911,3166,29,475
60,918,3165,36,474
65,920,3251,36,474
70,898,3126,33,473
75,874,3240,36,473
80,930,3287,37,472
85,889,3300,26,472
90,40,3193,26,471
95,39,3191,30,471
100,47,3142,38,470
105,33,3221,27,470
110,38,3146,38,469
115,41,3180,37,469
120,40,3126,36,468
125,45,3281,38,468
130,33,3175,31,467
135,45,3121,37,467
140,36,3263,30,466
145,48,3177,26,466
150,32,3247,22,465
155,46,3190,33,465
160,44,3211,35,464
165,39,3249,27,464
170,38,3184,27,463
175,44,3136,32,463
180,34,3188,23,462
185,37,3164,25,462
190,34,3118,24,461
195,42,3171,34,461
200,34,3283,26,460
205,32,3111,25,460
210,889,3157,22,459
215,926,3162,29,459
220,927,3165,32,458
225,876,3132,26,458
230,867,3107,37,457
235,904,3108,25,457
240,866,3111,32,456
245,894,3163,26,456
250,935,3175,26,455
255,896,3257,22,455
260,887,3168,28,454
265,907,3222,36,454
270,905,3242,25,453
275,937,3280,28,453
280,937,3257,36,452
285,931,3237,36,452
290,928,3284,38,451
295,861,3171,35,451
300,931,3280,36,450
