t_sec,bandwidth_kbps,ram_available_mb,cpu_load_pct,api_quota_remaining
0,58,3176,34,480
5,58,3192,22,480
10,72,3274,27,479
15,72,3300,28,479
20,58,3188,38,478
25,58,3199,35,478
30,72,3158,38,477
35,72,3256,37,477
40,58,3267,34,476
45,58,3130,23,476
50,72,3134,28,475
55,72,3245,28,475
60,58,3265,26,474
65,58,3174,24,474
70,72,3256,32,473
75,72,3122,37,473
80,58,3294,33,472
85,58,3271,29,472
90,72,3287,30,471
95,72,3204,22,471
100,58,3240,30,470
105,58,3164,29,470
110,72,3106,38,469
115,72,3151,25,469
120,58,3287,38,468
125,58,3209,37,468
130,72,3171,33,467
135,72,3210,33,467
140,58,3299,33,466
145,58,3215,22,466
150,72,3135,22,465
155,72,3129,27,465
160,58,3124,22,464
165,58,3280,34,464
170,72,3196,37,463
175,72,3256,37,463
180,58,3151,35,462
185,58,3247,26,462
190,72,3255,32,461
195,72,3105,24,461
200,58,3171,24,460
205,58,3190,28,460
210,72,3113,25,459
215,72,3276,36,459
220,58,3300,27,458
225,58,3117,23,458
230,72,3289,25,457
235,72,3188,37,457
240,58,3286,38,456
245,58,3140,23,456
250,72,3223,28,455
255,72,3120,37,455
260,58,3105,27,454
265,58,3138,31,454
270,72,3296,22,453
275,72,3138,25,453
280,58,3253,28,452
285,58,3288,23,452
290,72,3102,33,451
295,72,3158,35,451
300,58,3172,37,450
