t_sec,bandwidth_kbps,ram_available_mb,cpu_load_pct,api_quota_remaining
0,880,3186,26,60
5,935,3243,36,59
10,918,3122,24,58
15,927,3267,27,56
20,920,3158,33,55
25,912,3255,23,54
30,918,3212,22,52
35,886,3261,26,51
40,904,3129,33,50
45,926,3236,22,49
50,867,3110,24,48
55,914,3203,26,46
60,904,3225,22,45
65,883,3101,30,44
70,893,3279,36,42
75,909,3100,29,41
80,870,3187,32,40
85,869,3279,22,39
90,886,3106,24,38
95,868,3249,36,36
100,891,3193,31,35
105,937,3289,30,34
110,880,3175,34,32
115,874,3185,37,31
120,885,3138,23,30
125,890,3227,35,29
130,871,3200,37,28
135,915,3289,30,26
140,881,3256,32,25
145,895,3108,23,24
150,870,3210,29,22
155,884,3286,32,21
160,930,3220,30,20
165,872,3299,26,19
170,922,3226,29,18
175,885,3174,25,16
180,907,3196,34,15
185,932,3299,28,14
190,901,3275,24,12
195,938,3292,32,11
200,921,3245,31,10
205,886,3296,35,9
210,864,3141,36,8
215,868,3143,36,6
220,926,3212,35,5
225,896,3135,23,4
230,864,3227,28,2
235,920,3267,36,1
240,905,3196,37,0
245,905,3220,37,0
250,889,3226,29,0
255,903,3268,25,0
260,868,3167,31,0
265,917,3113,25,0
270,940,3154,34,0
275,919,3283,24,0
280,860,3181,31,0
285,865,3218,26,0
290,930,3101,24,0
295,901,3216,28,0
300,937,3240,38,0
