t_sec,bandwidth_kbps,ram_available_mb,cpu_load_pct,api_quota_remaining
0,878,3161,35,480
5,897,3181,30,480
10,894,3211,25,479
15,882,3112,22,479
20,866,3140,29,478
25,866,3167,23,478
30,928,3278,36,477
35,884,3130,23,477
40,939,3211,33,476
45,899,3169,38,476
50,867,3162,25,475
55,915,3203,29,475
60,888,3262,23,474
65,937,3156,33,474
70,864,3278,32,473
75,937,3113,35,473
80,891,3277,35,472
85,873,3198,28,472
90,884,893,73,471
95,940,895,70,471
100,933,910,76,470
105,860,861,71,470
110,875,851,79,469
115,887,891,71,469
120,900,885,70,468
125,920,884,71,468
130,889,897,70,467
135,878,911,70,467
140,869,950,78,466
145,916,867,74,466
150,919,917,73,465
155,899,894,80,465
160,28,941,77,464
165,25,899,78,464
170,34,875,73,463
175,25,943,75,463
180,35,937,76,462
185,29,958,79,462
190,31,930,78,461
195,26,956,77,461
200,893,851,74,460
205,898,892,80,460
210,937,3123,38,459
215,910,3166,37,459
220,894,3272,34,458
225,940,3112,23,458
230,889,3284,29,457
235,910,3241,35,457
240,865,3277,25,456
245,899,3115,25,456
250,872,3123,24,455
255,876,3115,24,455
260,882,3187,37,454
265,860,3273,26,454
270,933,3195,33,453
275,902,3293,29,453
280,915,3136,34,452
285,889,3249,22,452
290,871,3104,25,451
295,887,3261,31,451
300,874,3164,38,450
