t_sec,bandwidth_kbps,ram_available_mb,cpu_load_pct,api_quota_remaining
0,923,3223,28,480
5,935,3207,31,480
10,940,3180,27,479
15,866,3225,32,479
20,895,3162,28,478
25,861,3205,32,478
30,914,3103,23,477
35,902,3235,27,477
40,879,3200,25,476
45,932,3174,32,476
50,861,3225,28,475
55,917,3105,29,475
60,0,3257,28,474
65,0,3265,35,474
70,0,3145,27,473
75,0,3234,23,473
80,0,3223,34,472
85,0,3166,33,472
90,0,3137,27,471
95,0,3209,35,471
100,0,3191,27,470
105,0,3122,37,470
110,0,3248,30,469
115,0,3164,26,469
120,0,3221,26,468
125,0,3113,35,468
130,0,3118,38,467
135,0,3141,29,467
140,0,3195,35,466
145,0,3200,33,466
150,0,3233,37,465
155,0,3261,23,465
160,0,3131,27,464
165,0,3200,34,464
170,0,3251,22,463
175,0,3174,37,463
180,0,3297,27,462
185,0,3253,35,462
190,0,3131,38,461
195,0,3214,23,461
200,0,3120,29,460
205,0,3114,31,460
210,0,3136,23,459
215,0,3205,28,459
220,0,3167,29,458
225,0,3215,32,458
230,0,3178,33,457
235,0,3209,37,457
240,869,3283,28,456
245,929,3267,28,456
250,889,3124,31,455
255,890,3141,29,455
260,913,3200,34,454
265,863,3154,30,454
270,902,3165,34,453
275,883,3147,37,453
280,933,3235,26,452
285,905,3151,23,452
290,931,3285,35,451
295,875,3198,29,451
300,895,3144,22,450
