t_sec,bandwidth_kbps,ram_available_mb,cpu_load_pct,api_quota_remaining
0,903,3156,25,480
5,886,3179,38,480
10,885,3247,30,479
15,872,3197,28,479
20,910,3292,32,478
25,911,3142,27,478
30,910,3138,23,477
35,914,3209,25,477
40,870,3114,38,476
45,940,3184,26,476
50,905,3194,22,475
55,911,3262,26,475
60,925,3298,24,474
65,922,3266,24,474
70,903,3136,22,473
75,887,3261,34,473
80,898,3263,23,472
85,890,3212,27,472
90,887,3280,22,471
95,868,3161,38,471
100,937,3174,38,470
105,913,3240,31,470
110,917,3245,33,469
115,884,3192,34,469
120,879,3174,34,468
125,906,3118,38,468
130,936,3267,23,467
135,939,3156,22,467
140,920,3250,26,466
145,915,3147,32,466
150,929,3111,30,465
155,908,3245,22,465
160,881,3153,34,464
165,865,3208,33,464
170,898,3281,23,463
175,861,3174,38,463
180,925,3266,33,462
185,907,3270,29,462
190,940,3250,22,461
195,908,3196,24,461
200,934,3124,22,460
205,937,3296,37,460
210,883,3225,25,459
215,909,3181,38,459
220,931,3129,38,458
225,929,3206,32,458
230,925,3225,35,457
235,897,3195,38,457
240,883,3183,26,456
245,882,3239,29,456
250,940,3167,35,455
255,894,3158,38,455
260,930,3228,29,454
265,935,3181,25,454
270,915,3147,34,453
275,884,3196,23,453
280,930,3256,28,452
285,894,3107,35,452
290,926,3181,22,451
295,877,3138,25,451
300,888,3160,29,450
