student_id,course_code,semester
S2023CS001,CS301,2025-26 ODD
S2023CS001,CS302,2025-26 ODD
S2023CS001,CS303,2025-26 ODD
S2023CS001,CS304,2025-26 ODD
S2023CS001,CS305,2025-26 EVEN
S2023CS001,CS306,2025-26 EVEN
S2023CS001,CS307,2025-26 EVEN
S2023CS001,CS308,2025-26 EVEN
S2023CS002,CS301,2025-26 ODD
S2023CS002,CS302,2025-26 ODD
S2023CS002,CS303,2025-26 ODD
S2023CS002,CS304,2025-26 ODD
S2023CS002,CS305,2025-26 EVEN
S2023CS002,CS306,2025-26 EVEN
S2023CS002,CS307,2025-26 EVEN
S2023CS002,CS308,2025-26 EVEN
S2023CS003,CS301,2025-26 ODD
S2023CS003,CS302,2025-26 ODD
S2023CS003,CS303,2025-26 ODD
S2023CS003,CS304,2025-26 ODD
S2023CS003,CS305,2025-26 EVEN
S2023CS003,CS306,2025-26 EVEN
S2023CS003,CS307,2025-26 EVEN
S2023CS003,CS308,2025-26 EVEN
S2023CS004,CS301,2025-26 ODD
S2023CS004,CS302,2025-26 ODD
S2023CS004,CS303,2025-26 ODD
S2023CS004,CS304,2025-26 ODD
S2023CS004,CS305,2025-26 EVEN
S2023CS004,CS306,2025-26 EVEN
S2023CS004,CS307,2025-26 EVEN
S2023CS004,CS308,2025-26 EVEN
S2023CS005,CS301,2025-26 ODD
S2023CS005,CS302,2025-26 ODD
S2023CS005,CS303,2025-26 ODD
S2023CS005,CS304,2025-26 ODD
S2023CS005,CS305,2025-26 EVEN
S2023CS005,CS306,2025-26 EVEN
S2023CS005,CS307,2025-26 EVEN
S2023CS005,CS308,2025-26 EVEN
S2023CS006,CS301,2025-26 ODD
S2023CS006,CS302,2025-26 ODD
S2023CS006,CS303,2025-26 ODD
S2023CS006,CS304,2025-26 ODD
S2023CS006,CS305,2025-26 EVEN
S2023CS006,CS306,2025-26 EVEN
S2023CS006,CS307,2025-26 EVEN
S2023CS006,CS308,2025-26 EVEN
S2023CS007,CS301,2025-26 ODD
S2023CS007,CS302,2025-26 ODD
S2023CS007,CS303,2025-26 ODD
S2023CS007,CS304,2025-26 ODD
S2023CS007,CS305,2025-26 EVEN
S2023CS007,CS306,2025-26 EVEN
S2023CS007,CS307,2025-26 EVEN
S2023CS007,CS308,2025-26 EVEN
S2023CS008,CS301,2025-26 ODD
S2023CS008,CS302,2025-26 ODD
S2023CS008,CS303,2025-26 ODD
S2023CS008,CS304,2025-26 ODD
S2023CS008,CS305,2025-26 EVEN
S2023CS008,CS306,2025-26 EVEN
S2023CS008,CS307,2025-26 EVEN
S2023CS008,CS308,2025-26 EVEN
S2023CS009,CS301,2025-26 ODD
S2023CS009,CS302,2025-26 ODD
S2023CS009,CS303,2025-26 ODD
S2023CS009,CS304,2025-26 ODD
S2023CS009,CS305,2025-26 EVEN
S2023CS009,CS306,2025-26 EVEN
S2023CS009,CS307,2025-26 EVEN
