student_id,course_code,internal,external,total,grade
S2023CS001,CS301,34.0,47.0,81.0,A+
S2023CS001,CS302,34.0,45.0,79.0,A
S2023CS001,CS303,30.0,42.0,72.0,A
S2023CS001,CS304,32.0,43.0,75.0,A
S2023CS001,CS305,24.0,35.0,59.0,B
S2023CS001,CS306,27.0,50.0,77.0,A
S2023CS001,CS307,25.0,43.0,68.0,B+
S2023CS001,CS308,29.0,34.0,63.0,B+
S2023CS002,CS301,21.0,13.0,34.0,U
S2023CS002,CS302,22.0,34.0,56.0,B
S2023CS002,CS303,26.0,45.0,71.0,A
S2023CS002,CS304,28.0,42.0,70.0,B+
S2023CS002,CS305,28.0,43.0,71.0,A
S2023CS002,CS306,28.0,38.0,66.0,B+
S2023CS002,CS307,22.0,38.0,60.0,B
S2023CS002,CS308,29.0,43.0,72.0,A
S2023CS003,CS301,28.0,42.0,70.0,B+
S2023CS003,CS302,24.0,38.0,62.0,B+
S2023CS003,CS303,30.0,47.0,77.0,A
S2023CS003,CS304,33.0,46.0,79.0,A
S2023CS003,CS305,27.0,45.0,72.0,A
S2023CS003,CS306,36.0,48.0,84.0,A+
S2023CS003,CS307,34.0,48.0,82.0,A+
S2023CS003,CS308,36.0,48.0,84.0,A+
S2023CS004,CS301,24.0,35.0,59.0,B
S2023CS004,CS302,31.0,56.0,87.0,A+
S2023CS004,CS303,33.0,44.0,77.0,A
S2023CS004,CS304,33.0,46.0,79.0,A
S2023CS004,CS305,28.0,40.0,68.0,B+
S2023CS004,CS306,36.0,43.0,79.0,A
S2023CS004,CS307,24.0,38.0,62.0,B+
S2023CS004,CS308,31.0,43.0,74.0,A
S2023CS005,CS301,34.0,49.0,83.0,A+
S2023CS005,CS302,26.0,38.0,64.0,B+
S2023CS005,CS303,25.0,38.0,63.0,B+
S2023CS005,CS304,37.0,41.0,78.0,A
S2023CS005,CS305,26.0,42.0,68.0,B+
S2023CS005,CS306,27.0,35.0,62.0,B+
S2023CS005,CS307,22.0,32.0,54.0,C
S2023CS005,CS308,30.0,37.0,67.0,B+
S2023CS006,CS301,35.0,50.0,85.0,A+
S2023CS006,CS302,32.0,49.0,81.0,A+
S2023CS006,CS303,36.0,52.0,88.0,A+
S2023CS006,CS304,32.0,44.0,76.0,A
S2023CS006,CS305,32.0,48.0,80.0,A
S2023CS006,CS306,33.0,51.0,84.0,A+
