user_id,role,student_id
S2023CS001,student,S2023CS001
S2023CS002,student,S2023CS002
S2023CS003,student,S2023CS003
S2023CS004,student,S2023CS004
S2023CS005,student,S2023CS005
S2023CS006,student,S2023CS006
S2023CS007,student,S2023CS007
S2023CS008,student,S2023CS008
S2023CS009,student,S2023CS009
S2023CS010,student,S2023CS010
S2023CS011,student,S2023CS011
S2023CS012,student,S2023CS012
S2023CS013,student,S2023CS013
S2023CS014,student,S2023CS014
S2023CS015,student,S2023CS015
S2023CS016,student,S2023CS016
S2023CS017,student,S2023CS017
S2023CS018,student,S2023CS018
S2023CS019,student,S2023CS019
S2023CS020,student,S2023CS020
S2023CS021,student,S2023CS021
S2023CS022,student,S2023CS022
S2023CS023,student,S2023CS023
S2023CS024,student,S2023CS024
S2023CS025,student,S2023CS025
S2023CS026,student,S2023CS026
S2023CS027,student,S2023CS027
S2023CS028,student,S2023CS028
S2023CS029,student,S2023CS029
S2023CS030,student,S2023CS030
S2023CS031,student,S2023CS031
S2023CS032,student,S2023CS032
S2023CS033,student,S2023CS033
S2023CS034,student,S2023CS034
S2023CS035,student,S2023CS035
S2023CS036,student,S2023CS036
S2023CS037,student,S2023CS037
S2023CS038,student,S2023CS038
S2023CS039,student,S2023CS039
S2023CS040,student,S2023CS040
S2023CS041,student,S2023CS041
S2023CS042,student,S2023CS042
S2023CS043,student,S2023CS043
S2023CS044,student,S2023CS044
S2023CS045,student,S2023CS045
S2023CS046,student,S2023CS046
S2023CS047,student,S2023CS047
S2023CS048,student,S2023CS048
S2023CS049,student,S2023CS049
S2023CS050,student,S2023CS050
S2023CS051,student,S2023CS051
S2023CS052,student,S2023CS052
S2023CS053,student,S2023CS053
S2023CS054,student,S2023CS054
S2023CS055,student,S2023CS055
S2023CS056,student,S2023CS056
S2023CS057,student,S2023CS057
S2023CS058,student,S2023CS058
S2023CS059,student,S2023CS059
S2023CS060,student,S2023CS060
S2022CS001,student,S2022CS001
S2022CS002,student,S2022CS002
S2022CS003,student,S2022CS003
S2022CS004,student,S2022CS004
S2022CS005,student,S2022CS005
S2022CS006,student,S2022CS006
S2022CS007,student,S2022CS007
S2022CS008,student,S2022CS008
S2022CS009,student,S2022CS009
S2022CS010,student,S2022CS010
S2022CS011,student,S2022CS011
S2022CS012,student,S2022CS012
S2022CS013,student,S2022CS013
S2022CS014,student,S2022CS014
S2022CS015,student,S2022CS015
S2022CS016,student,S2022CS016
S2022CS017,student,S2022CS017
S2022CS018,student,S2022CS018
S2022CS019,student,S2022CS019
S2022CS020,student,S2022CS020
S2022CS021,student,S2022CS021
S2022CS022,student,S2022CS022
S2022CS023,student,S2022CS023
S2022CS024,student,S2022CS024
S2022CS025,student,S2022CS025
S2022CS026,student,S2022CS026
S2022CS027,student,S2022CS027
S2022CS028,student,S2022CS028
S2022CS029,student,S2022CS029
S2022CS030,student,S2022CS030
S2022CS031,student,S2022CS031
S2022CS032,student,S2022CS032
S2022CS033,student,S2022CS033
S2022CS034,student,S2022CS034
S2022CS035,student,S2022CS035
S2022CS036,student,S2022CS036
S2022CS037,student,S2022CS037
S2022CS038,student,S2022CS038
S2022CS039,student,S2022CS039
S2022CS040,student,S2022CS040
S2023IT001,student,S2023IT001
S2023IT002,student,S2023IT002
S2023IT003,student,S2023IT003
S2023IT004,student,S2023IT004
S2023IT005,student,S2023IT005
S2023IT006,student,S2023IT006
S2023IT007,student,S2023IT007
S2023IT008,student,S2023IT008
S2023IT009,student,S2023IT009
S2023IT010,student,S2023IT010
S2023IT011,student,S2023IT011
S2023IT012,student,S2023IT012
S2023IT013,student,S2023IT013
S2023IT014,student,S2023IT014
S2023IT015,student,S2023IT015
S2023IT016,student,S2023IT016
S2023IT017,student,S2023IT017
S2023IT018,student,S2023IT018
S2023IT019,student,S2023IT019
S2023IT020,student,S2023IT020
S2023IT021,student,S2023IT021
S2023IT022,student,S2023IT022
S2023IT023,student,S2023IT023
S2023IT024,student,S2023IT024
S2023IT025,student,S2023IT025
S2023IT026,student,S2023IT026
S2023IT027,student,S2023IT027
S2023IT028,student,S2023IT028
S2023IT029,student,S2023IT029
S2023IT030,student,S2023IT030
S2023IT031,student,S2023IT031
S2023IT032,student,S2023IT032
S2023IT033,student,S2023IT033
S2023IT034,student,S2023IT034
S2023IT035,student,S2023IT035
S2023IT036,student,S2023IT036
S2023IT037,student,S2023IT037
S2023IT038,student,S2023IT038
S2023IT039,student,S2023IT039
S2023IT040,student,S2023IT040
S2022IT001,student,S2022IT001
S2022IT002,student,S2022IT002
S2022IT003,student,S2022IT003
S2022IT004,student,S2022IT004
S2022IT005,student,S2022IT005
S2022IT006,student,S2022IT006
S2022IT007,student,S2022IT007
S2022IT008,student,S2022IT008
S2022IT009,student,S2022IT009
S2022IT010,student,S2022IT010
S2022IT011,student,S2022IT011
S2022IT012,student,S2022IT012
S2022IT013,student,S2022IT013
S2022IT014,student,S2022IT014
S2022IT015,student,S2022IT015
S2022IT016,student,S2022IT016
S2022IT017,student,S2022IT017
S2022IT018,student,S2022IT018
S2022IT019,student,S2022IT019
S2022IT020,student,S2022IT020
S2023AD001,student,S2023AD001
S2023AD002,student,S2023AD002
S2023AD003,student,S2023AD003
S2023AD004,student,S2023AD004
S2023AD005,student,S2023AD005
S2023AD006,student,S2023AD006
S2023AD007,student,S2023AD007
S2023AD008,student,S2023AD008
S2023AD009,student,S2023AD009
S2023AD010,student,S2023AD010
S2023AD011,student,S2023AD011
S2023AD012,student,S2023AD012
S2023AD013,student,S2023AD013
S2023AD014,student,S2023AD014
S2023AD015,student,S2023AD015
S2023AD016,student,S2023AD016
S2023AD017,student,S2023AD017
S2023AD018,student,S2023AD018
S2023AD019,student,S2023AD019
S2023AD020,student,S2023AD020
S2023AD021,student,S2023AD021
S2023AD022,student,S2023AD022
S2023AD023,student,S2023AD023
S2023AD024,student,S2023AD024
S2023AD025,student,S2023AD025
S2023AD026,student,S2023AD026
S2023AD027,student,S2023AD027
S2023AD028,student,S2023AD028
S2023AD029,student,S2023AD029
S2023AD030,student,S2023AD030
S2023AD031,student,S2023AD031
S2023AD032,student,S2023AD032
S2023AD033,student,S2023AD033
S2023AD034,student,S2023AD034
S2023AD035,student,S2023AD035
S2023AD036,student,S2023AD036
S2023AD037,student,S2023AD037
S2023AD038,student,S2023AD038
S2023AD039,student,S2023AD039
S2023AD040,student,S2023AD040
staff_placement,staff,
staff_hod_cs,staff,
staff_exam_cell,staff,
